Waktu Gempa (UTC);Lintang;Bujur;Magnitudo;Kedalaman (Km);Wilayah;Status;Detail
27/10/2024 18:34;0.30;122.09;2.4;170;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vdnr
27/10/2024 18:20;-5.35;141.66;3.9;10;New Guinea-Papua New Guinea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vdnf
27/10/2024 18:04;-11.44;121.44;4.0;17;South of Timor-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vdms
27/10/2024 17:18;-2.56;121.18;2.3;5;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vdle
27/10/2024 17:15;0.79;97.34;4.3;25;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vdlc
27/10/2024 16:45;-6.25;103.34;4.4;58;Southwest of Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vdkc
27/10/2024 15:56;5.62;126.58;4.6;15;Mindanao-Philippines;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vdim
27/10/2024 13:35;-1.02;127.36;4.7;10;Halmahera-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vddv
27/10/2024 13:32;-1.03;127.31;4.3;10;Halmahera-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vdds
27/10/2024 11:45;-0.16;122.95;2.7;79;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vdaf
27/10/2024 11:34;-8.49;118.40;2.4;100;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vczv
27/10/2024 10:21;23.91;121.80;5.2;36;Taiwan;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vcxl
27/10/2024 07:53;-7.34;125.47;3.7;483;Banda Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vcso
27/10/2024 07:11;-0.65;131.20;2.8;15;West Papua Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vcrd
27/10/2024 06:05;-7.28;107.13;3.0;101;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vcoy
27/10/2024 05:44;-2.40;133.41;3.0;12;West Papua Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vcoh
27/10/2024 04:01;-8.52;111.60;2.7;96;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vckw
27/10/2024 02:24;-9.06;117.23;3.4;10;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vchr
27/10/2024 02:22;-9.07;117.21;3.7;10;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vchq
27/10/2024 02:08;4.87;96.09;2.4;10;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vche
